source_file,line,date,amount,sign,direction_guess,category_guess,confidence,description_redacted,status
DECISIONS.md,11,,45000.0,,expense_candidate,car,0.65,- Машина: 45 000₽ к каждому 6 числу месяца.,needs_review
DECISIONS.md,12,,15000.0,,expense_candidate,bank_obligation,0.65,- Банк/банкротство: 15 000₽ к каждому 15 числу месяца.,needs_review
DECISIONS.md,13,,8500.0,,expense_candidate,uncategorized,0.45,"- Базовый план: 8 500₽ чистыми в день, 59 500₽ в неделю, 212 500₽ в месяц.",needs_review
DECISIONS.md,13,,59500.0,,expense_candidate,uncategorized,0.45,"- Базовый план: 8 500₽ чистыми в день, 59 500₽ в неделю, 212 500₽ в месяц.",needs_review
DECISIONS.md,13,,212500.0,,expense_candidate,uncategorized,0.45,"- Базовый план: 8 500₽ чистыми в день, 59 500₽ в неделю, 212 500₽ в месяц.",needs_review
DECISIONS.md,22,,300000.0,,expense_candidate,uncategorized,0.45,"- Слепая гонка за 300 000₽ при просадке режима, фондов или сна.",needs_review
FEATURE_MAP.md,30,,2500.0,,expense_candidate,fuel,0.75,"- Работа: заправка, комиссия, лимит 2 500₽;",needs_review
PROJECT_MEMORY.md,53,,8500.0,-,expense_candidate,uncategorized,0.45,- 8 500₽ чистыми в день — базовая дневная цель.,needs_review
PROJECT_MEMORY.md,54,,11000.0,-,expense_candidate,uncategorized,0.45,- 11 000₽ грязными — базовая грязная цель.,needs_review
PROJECT_MEMORY.md,55,,59500.0,-,expense_candidate,uncategorized,0.45,- 59 500₽ чистыми в неделю.,needs_review
PROJECT_MEMORY.md,56,,212500.0,-,expense_candidate,uncategorized,0.45,- 212 500₽ чистыми в месяц.,needs_review
PROJECT_MEMORY.md,57,,45000.0,,expense_candidate,car,0.65,- Машина: 45 000₽ к каждому 6 числу.,needs_review
PROJECT_MEMORY.md,58,,15000.0,,expense_candidate,bank_obligation,0.65,- Банк/банкротство: 15 000₽ к каждому 15 числу.,needs_review
PROJECT_MEMORY.md,59,,3000.0,,expense_candidate,girlfriend_relationship,0.65,- Встречи: держать 3 000₽.,needs_review
PROJECT_MEMORY.md,60,,2500.0,,expense_candidate,uncategorized,0.45,"- Рабочий фонд: защищён, минимум 2 500₽, желательно 7–10k.",needs_review
PROJECT_MEMORY.md,67,,300000.0,,expense_candidate,uncategorized,0.45,"- если сон, фонды или работа просели — не гонимся за 300 000₽;",needs_review
README.md,15,,3000.0,,expense_candidate,car,0.65,"- Фонды: Рабочий, Машина, Банк, Встречи 3 000₽, База, Личное, ДР Ульяны, Переезд, Подушка, Компьютер.",needs_review
README.md,69,,5000.0,,unknown_amount_candidate,car,0.65,"5. Вопросы вроде «Можно ли букет за 5 000₽ сегодня?» считаются через текущее время, похожие дни, фонды, дедлайны и историю трат.",needs_review
REGRESSION_CHECKLIST.md,12,,45000.0,,expense_candidate,car,0.65,- [ ] Машина 45 000₽ к 6 числу сохранена.,needs_review
REGRESSION_CHECKLIST.md,13,,15000.0,,expense_candidate,bank_obligation,0.65,- [ ] Банк/банкротство 15 000₽ к 15 числу сохранено.,needs_review
REGRESSION_CHECKLIST.md,14,,3000.0,,expense_candidate,girlfriend_relationship,0.65,- [ ] Встречи 3 000₽ сохранены.,needs_review
Вставленный текст (2).txt,388,2026-03-08,3000.0,,expense_candidate,uncategorized,0.75,Мне очень важно и нужно знать сколько денег в какой день нужно минимум зарабатывать. В среднем я зарабатываю от 3 000₽ до 10 000₽ в день. Средний доход 5 - 8 тысяч рублей в день.,needs_review
Вставленный текст (2).txt,388,2026-03-08,10000.0,,expense_candidate,uncategorized,0.75,Мне очень важно и нужно знать сколько денег в какой день нужно минимум зарабатывать. В среднем я зарабатываю от 3 000₽ до 10 000₽ в день. Средний доход 5 - 8 тысяч рублей в день.,needs_review
Вставленный текст (2).txt,390,2026-03-08,1800.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,1000.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
