source_file,line,date,amount,sign,direction_guess,category_guess,confidence,description_redacted,status
Вставленный текст (2).txt,390,2026-03-08,1800.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,1000.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,10000.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,2800.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,10000.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,390,2026-03-08,13000.0,,income_or_metric_candidate,fuel,0.95,"Ещё важный момент, что чтобы работать и зарабатывать, я таксую, издержки профессии (1 800₽ в день на бензин и 1 000₽ на комиссию сервиса). Но это не фикс, потому что, чтобы заработать 10 000₽ чистыми за день, то только тогда у тебя уходят эти 2 800₽ на работу, то есть при доходе в среднем 700-1 000₽ в час, я когда зарабатываю 10 000₽ чистыми, я зарабатываю примерно 13 000₽ грязными.",needs_review
Вставленный текст (2).txt,393,2026-03-08,1000.0,,income_or_metric_candidate,uncategorized,0.75,"Нужно сделать таблицу по дням каждого месяца на полгода вперёд. Есть определенные денежные обязательства каждый месяц, очень много денежных целей, некоторые в конкретные дни, некоторые ждут. Бывает, что из-за каких-то дел, чистый доход за день бывает 1 000₽.",needs_review
Вставленный текст (2).txt,447,2026-04-24,8500.0,,income_or_metric_candidate,uncategorized,0.65,✅ Цель: 8 500 ₽ чистыми в среднем за день,needs_review
Вставленный текст (2).txt,448,2026-04-24,212500.0,,income_or_metric_candidate,uncategorized,0.65,✅ ≈ 212 500 ₽ чистыми в месяц,needs_review
Вставленный текст (2).txt,449,2026-04-24,11000.0,,income_or_metric_candidate,uncategorized,0.65,✅ Грязными ≈ 11 000 ₽,needs_review
