path,size_bytes,category,ext,text_chars,line_count,sha256,secret_pattern_hits,finflow_core,money_targets,taxi_work,expenses,ai_protocol,import_editing,security,relationship_time,learning_exit
0aacf68d-d8f5-4305-ae5a-7425738e8ed8.png,100115,screenshot_or_image,.png,0,0,e5f7bd437926a67933418041ab6f3daab52c9341db22af0298c2ea06216c232c,0,0,0,0,0,0,0,0,0,0
3a96b3dc-4eb0-4337-8ea8-9dae3e50dae4.png,1535345,screenshot_or_image,.png,0,0,966df62d5fc7c42d34fc0572ad8c349442b964e16ea2759d72de1d4dd93a75c7,0,0,0,0,0,0,0,0,0,0
BUILD_ID(1),21,other,,0,0,01bbeffecbdce80b3f2f4a6294ff22268aea117ea2232dde073fe18f8b4665f4,0,0,0,0,0,0,0,0,0,0
CHANGELOG.md,2335,context_document,.md,1631,57,7a38bf6bc57e4bfb4e9326faffa3de164625459e1d1abcfc3b4de08e85b19310,0,5,2,1,2,2,21,2,0,0
CORE_REQUIREMENTS.md,609,context_document,.md,351,12,425969fcb7f73244041f494bb52a07ebb2201d0132dde2947b129fd3c484e1d0,0,3,2,1,1,0,0,0,0,0
DECISIONS.md,3187,context_document,.md,1966,42,5a24fc6325e37b53d3f9e094b8244e7223dd84752a6cf2e0fd9655f5b08139ea,0,8,10,2,1,5,13,0,0,0
FEATURE_MAP.md,1989,context_document,.md,1243,88,7e14158bd7d3680841e4a292832c691b1bd76432cc9ea4c93dc2f347a5e97bfc,0,4,7,10,3,3,8,1,2,0
FULL_EDITING_SPEC.md,1097,context_document,.md,733,21,96c2abb351ef3dd9175d8a40492a8aa8697db1eb2472dc687d4b8c741b232196,0,1,3,1,1,6,12,0,0,0
GOLDEN_BASE.md,1707,context_document,.md,1095,26,4c8c3a29e8732f65d5171c16e1a37476af60732b68a6f9c2f04cc044d6064680,0,5,0,0,0,4,5,0,0,0
IMPORT_PLAN.md,2340,context_document,.md,1608,42,b3feca968bee10427e1f2c99f1e6c8a571508ef8c9ac481fa4a1734be745e224,0,2,1,1,1,4,34,6,0,0
INTEGRITY_AUDIT.md,2359,context_document,.md,1379,41,52f14d8771dbad7a4ed73697d78f62b64f74bb5e141ebe6f2a2d664a1351b62f,0,4,1,1,1,1,1,0,0,0
PROJECT_MEMORY.md,2997,context_document,.md,1778,72,7a2b54da7f66a187a54b7031bf006c89532783f35230f919849efd63dbce73e2,0,11,14,6,2,1,0,0,1,0
README.md,8890,context_document,.md,6044,157,fada81f22d22d3a44f389218646365596a190c665860a24ec8c31599273e5d46,2,8,13,7,7,25,27,18,2,1
